split,accuracy,f1,precision,recall,loss
Val,0.7889494163424124,0.8046672428694901,0.7038810483870968,0.9391392064559516,0.3931404948234558
Test,0.786946386946387,0.8027054252410418,0.7034047919293821,0.9346514745308311,0.3829593360424042
