feature,importance
q_n_capitalized,0.31396392990086186
q_pct_capitalized,0.1623701778626373
q_n_chars,0.10561452444114174
q_n_words,0.08821217484726578
q_n_sentences,0.05458608914857183
q_is_what,0.05161791984338556
q_avg_word_length,0.04776730032756048
q_n_commas,0.029134961198768006
q_is_who,0.021769268060251826
q_n_numbers,0.01931003487428573
q_has_year,0.017804503274173107
q_has_historical,0.013468942669450158
q_has_quote,0.011987708529391678
q_has_opinion,0.008477161507421532
q_has_technical,0.007279867255509224
q_has_approximately,0.006227836755730727
q_is_where,0.006166762285271066
q_is_when,0.006000179178990043
q_has_numbers,0.005154717340679655
q_has_multiple_questions,0.004770803430916262
q_has_comparison,0.004508170788626983
q_is_how,0.0031767377635376227
q_has_parentheses,0.002953431575090831
q_is_why,0.0027995981479549143
q_has_medical,0.0024566926715663693
q_has_maybe,0.0014937901457456387
q_has_percentage,0.0009267161752141836
