model,split,accuracy,f1,precision,recall,roc_auc
Question-LR,Train (Question-LR),0.5330803338044804,0.5414963399562696,0.498721675480685,0.5922968139089926,0.5592809953227267
Question-LR,Val (Question-LR),0.5352529182879378,0.5331457160725454,0.49824663939216834,0.5733019502353732,0.5629632902717008
Question-LR,Test (Question-LR),0.5348873348873349,0.5377606177606178,0.49871097106846174,0.5834450402144772,0.562423770007217
Question-RF,Train (Question-RF),0.5321703099889635,0.6468886095928448,0.49864816149963953,0.9205556942018135,0.56333975540992
Question-RF,Val (Question-RF),0.533852140077821,0.6440033281825746,0.4980694980694981,0.9108944182918628,0.5671697939663307
Question-RF,Test (Question-RF),0.533022533022533,0.6452602998465352,0.4980863860032805,0.9158847184986595,0.5658523717335691
