Stage,Input,Test F1,Test ROC-AUC,Test Accuracy
1: Question Risk (LR),Question only,0.5377606177606178,0.562423770007217,0.5348873348873349
1: Question Risk (RF),Question only,0.6452602998465352,0.5658523717335691,0.533022533022533
2: Response Verification,Question + Response,0.8152616990053807,0.9052245609346632,0.8239316239316239
