dataset,model,split,accuracy,f1,precision,recall,roc_auc
HaluEval,baseline,HaluEval Baseline,0.822999222999223,0.8149471974004874,0.7909176915799432,0.8404825737265416,0.9053929466766831
HaluEval,sentiment,HaluEval Sentiment,0.8226884226884227,0.814742653028089,0.7902362204724409,0.8408176943699732,0.905490054947744
TruthfulQA,baseline,TruthfulQA Baseline,0.5467980295566502,0.6166666666666667,0.8131868131868132,0.4966442953020134,0.6542105117794902
TruthfulQA,sentiment,TruthfulQA Sentiment,0.5467980295566502,0.6166666666666667,0.8131868131868132,0.4966442953020134,0.6570138371033225
Custom,baseline,Custom Baseline,0.6078431372549019,0.574468085106383,0.627906976744186,0.5294117647058824,0.6589773164167627
Custom,sentiment,Custom Sentiment,0.6078431372549019,0.5652173913043478,0.6341463414634146,0.5098039215686274,0.655517108804306
