split,accuracy,f1,precision,recall,roc_auc
Train,0.6935543206769028,0.6882669240314353,0.6536720416027536,0.7267282256051909,0.772975822769611
Val,0.6378210116731517,0.6238887990948764,0.6006847183317772,0.6489576328177539,0.712723737084287
Test,0.6452214452214452,0.6241975308641975,0.6133937237140085,0.6353887399463807,0.7125410185336962
