model,split,accuracy,f1,precision,recall,roc_auc
LogisticRegression,Logistic Regression (Test),0.8239316239316239,0.8152616990053807,0.7939028262940616,0.8378016085790885,0.9052245609346632
RandomForest,Random Forest (Test),0.7692307692307693,0.765809809178363,0.7232648197795651,0.8136729222520107,0.862735662352211
XGBoost,XGBoost (Test),0.8256410256410256,0.8158844765342961,0.7993569131832797,0.8331099195710456,0.9069910089393991
