feature_name,f1_full,f1_without,delta_f1
resp_numbers_per_word,0.820478500920194,0.8175573797956106,-0.0029211211245834257
resp_has_ellipsis,0.820478500920194,0.8225860340795189,0.0021075331593248814
resp_n_uncertainty,0.820478500920194,0.8220140515222483,0.0015355506020542364
resp_punct_per_word,0.820478500920194,0.8190060443250504,-0.001472456595143612
resp_n_punct,0.820478500920194,0.8190189184664323,-0.0014595824537617652
resp_has_multi_q,0.820478500920194,0.8217573221757322,0.0012788212555381318
resp_n_words,0.820478500920194,0.8214823490045173,0.0010038480843233
resp_has_multi_excl,0.820478500920194,0.8212253096752594,0.0007468087550653868
resp_n_numbers,0.820478500920194,0.8211300568371782,0.0006515559169841811
resp_n_chars,0.820478500920194,0.8207531380753138,0.0002746371551197724
