dataset,split,model,accuracy,f1,precision,recall,roc_auc
HaluEval,HaluEval Test (Multi),multi_dataset,0.822999222999223,0.8149471974004874,0.7909176915799432,0.8404825737265416,0.9053929466766831
TruthfulQA,TruthfulQA Test (Multi),multi_dataset,0.5467980295566502,0.6166666666666667,0.8131868131868132,0.4966442953020134,0.6542105117794902
