setting,val_accuracy,val_f1,val_precision,val_recall,val_roc_auc,test_accuracy,test_f1,test_precision,test_recall,test_roc_auc
response_only,0.8280155642023346,0.8133761188988347,0.8171021377672208,0.8096839273705447,0.9027814613543398,0.8243978243978244,0.8114152202937249,0.8081781914893617,0.8146782841823056,0.9002481504758695
response_plus_context,0.7537743190661479,0.7437641723356009,0.7175,0.7720242098184263,0.8439578345077798,0.7465423465423465,0.7358704453441296,0.7120025070510811,0.7613941018766756,0.8382572891410425
prompt_plus_response,0.6874708171206225,0.6696281671602501,0.6556056701030928,0.6842636180228648,0.759952379718207,0.6795648795648795,0.6624099541584807,0.6475672215108835,0.6779490616621984,0.7542255693069498
prompt_plus_response_plus_context,0.6557198443579767,0.6474338540006376,0.6154545454545455,0.6829186281102891,0.7227584979218133,0.6523698523698523,0.6423661071143085,0.6141852644451238,0.6732573726541555,0.718543474984521
prompt_only,0.5369649805447471,0.6120745859955665,0.4998935037273695,0.789172831203766,0.5689491481957902,0.535975135975136,0.612509732675837,0.49978822532825073,0.7908847184986595,0.5673592493297588
