heldout_task,setting,train_size,val_size,test_size,val_accuracy,val_f1,val_precision,val_recall,val_roc_auc,test_accuracy,test_f1,test_precision,test_recall,test_roc_auc
dialogue,response_only,35627,1938,2042,0.6351909184726522,0.6427488630621526,0.6297029702970297,0.6563467492260062,0.6864848486784861,0.6263467189030363,0.6276232308443143,0.6254863813229572,0.6297747306562194,0.6771495940777463
summarization,response_only,35593,2002,1944,0.5164835164835165,0.5986733001658375,0.5116938341601701,0.7212787212787213,0.5450283981752514,0.5354938271604939,0.6149253731343284,0.5251274581209031,0.7417695473251029,0.5486386306287998
qa,response_only,35637,2008,1982,0.6105577689243028,0.4164179104477612,0.8303571428571429,0.2778884462151394,0.7883441334264535,0.594853683148335,0.3846743295019157,0.7993630573248408,0.2532795156407669,0.7897922880088302
