Domain,Samples,Accuracy,F1,Precision,Recall
Medical,40,0.75,0.7222222222222222,0.8125,0.65
Financial,30,0.5,0.4827586206896552,0.5,0.4666666666666667
General,32,0.53125,0.4827586206896552,0.5384615384615384,0.4375
